更新时间,#genre#
CCTV-12,http://139.196.151.191:2419/rtp/239.45.3.10:5140$上海电信组播源
CCTV-12,http://123.56.129.203:4310/rtp/225.1.8.112:8232$组播源
CCTV-12,http://123.56.129.203:4310/rtp/225.1.8.12:8124$组播源
CCTV-12,http://123.56.129.203:1418/rtp/225.1.8.12:8124$北京电信组播源
CCTV-12,http://123.56.129.203:1418/rtp/225.1.8.112:8232$北京电信组播源
CCTV-12,http://123.56.129.203:6944/rtp/225.1.8.12:8124$北京电信组播源
CCTV-12,http://123.56.129.203:6944/rtp/225.1.8.112:8232$北京电信组播源
CCTV-13,http://218.3.138.25:1111/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-13,http://123.129.70.178:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-13,http://101.43.66.162/migunew.php?id=cctv13$订阅源
CCTV-13,http://39.98.201.151:9090/udp/225.1.8.168:8130$订阅源
CCTV-13,http://116.128.242.83:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
